,index,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft,price,current_floor,total_floor,BHK,area
2005,4230,2,2500,1,Ready to Move,1,3,6800,17000000,5.0,13,3,sangini
2006,4231,2,3810,1,Poss. by Dec '24,1,3,6491,24730710,3.0,18,4,The
2007,4234,1,1402,1,Ready to Move,1,5,6118,8577436,6.0,11,3,The
2008,4235,2,3211,1,Poss. by Sep '24,1,3,5761,18498571,4.0,13,4,Milestone
2009,4236,2,4100,1,Ready to Move,1,4,6600,27060000,5.0,14,4,Rajhans
2010,4237,1,1686,1,Poss. by Jul '24,1,3,5400,9104400,9.0,12,4,Veer
2011,4238,2,5124,1,Poss. by Jul '24,1,3,6800,34843200,7.0,12,5,Surya
2012,4239,1,1200,2,Ready to Move,2,3,15000,18000000,,2,3,in
2013,4240,2,2650,1,Poss. by Jan '25,1,8,6200,16430000,6.0,12,3,Rajhans
2014,4241,2,3700,1,Poss. by Sep '24,1,8,4500,16650000,7.0,12,4,Dumas
2015,4242,2,5135,1,Poss. by May '25,1,3,6816,35000160,6.0,12,5,Vesu
2016,4243,2,2565,1,Poss. by Sep '24,1,8,6472,16600680,5.0,12,3,DMD
2017,4245,2,2650,1,Ready to Move,1,3,6200,16430000,5.0,12,3,Sangini
2018,4246,2,4000,1,Poss. by Jun '27,1,3,7475,29900000,8.0,12,4,Sangini
2019,4247,2,3150,1,Poss. by Dec '24,1,3,6491,20446650,3.0,18,4,The
2020,4248,2,4158,1,Poss. by Aug '24,1,3,8900,37006200,5.0,10,4,Roland
2021,4250,1,1595,1,Poss. by Feb '25,1,5,5500,8772500,7.0,13,4,"Greenopolis,"
2022,4251,2,2984,1,Ready to Move,1,3,5201,15519784,2.0,14,4,Superia
2023,4252,2,4967,1,Ready to Move,1,3,8000,39736000,8.0,19,5,Casa
2024,4253,1,2800,2,Ready to Move,1,4,7391,20694800,1.0,2,4,in
2025,4254,2,6140,1,Poss. by Oct '24,1,8,6891,42310740,6.0,12,5,Rajhans
2026,4255,2,3800,1,Poss. by Sep '24,1,8,4500,17100000,7.0,12,4,Dumas
2027,4256,2,3810,1,Poss. by May '25,1,3,7349,27999690,6.0,18,4,Vesu
2028,4257,2,5276,1,Poss. by Apr '25,1,8,5699,30067924,5.0,13,5,Avadh
2029,4259,2,3152,1,Ready to Move,1,3,5203,16399856,5.0,12,4,Glorina
2030,4260,2,5800,1,Poss. by Dec '25,1,3,6897,40002600,10.0,18,5,Sangini
2031,4261,2,3513,1,Poss. by Jun '25,1,3,7051,24770163,3.0,13,4,"Agastya,"
2032,4262,2,7600,1,Poss. by Aug '24,1,1,8900,67640000,9.0,10,6,Roland
2033,4263,2,3500,1,Poss. by Jun '24,1,3,5500,19250000,9.0,19,4,Vesu
2034,4264,1,1925,1,Poss. by Dec '25,1,5,5700,10972500,7.0,13,4,Avadh
2035,4265,2,4000,1,Poss. by Aug '24,1,3,6000,24000000,4.0,9,4,Pal
2036,4266,2,5600,1,Poss. by Dec '24,1,3,6393,35800800,5.0,13,5,Avadh
2037,4267,2,2860,1,Poss. by Dec '24,1,8,6051,17305860,6.0,12,3,Rajhans
2038,4268,2,3900,1,Poss. by Sep '24,1,8,4500,17550000,7.0,12,4,Dumas
2039,4270,2,4850,1,Poss. by Jun '24,1,3,4747,23022950,7.0,13,4,The
2040,4272,2,2980,2,Ready to Move,1,1,5168,15400640,3.0,12,4,Avadh
2041,4274,2,3400,1,Poss. by Aug '24,1,3,5600,19040000,5.0,14,4,Atmosphere
2042,4275,2,2450,1,Ready to Move,1,4,6500,15925000,13.0,13,3,sangini
2043,4277,1,1650,2,Ready to Move,1,5,6333,10449450,12.0,12,4,Ascon
2044,4278,2,3200,1,Poss. by Jul '24,1,3,5000,16000000,13.0,13,4,"Sattvam,"
2045,4279,1,3080,1,Poss. by Jun '25,1,3,7500,23100000,5.0,18,5,Sangini
2046,4280,2,3500,1,Poss. by Jan '25,1,8,6051,21178500,5.0,12,4,Rajhans
2047,4281,2,5000,1,Poss. by Mar '25,1,3,6000,30000000,6.0,13,4,Vesu
2048,4283,2,3755,1,Poss. by Jun '24,1,3,4971,18666105,13.0,13,4,The
2049,4285,2,3800,2,Ready to Move,1,3,7474,28401200,12.0,19,4,Sangini
2050,4286,2,3700,1,Ready to Move,1,3,5676,21001200,10.0,13,4,Laxmi
2051,4287,2,2350,1,Ready to Move,1,3,6500,15275000,1.0,13,3,sangini
